glass_type,method,k,iteration,ari,selected_features,feature_jaccard,failed,failure_reason
高钾,Ward,4,37,0.47196870925684486,CuO+P2O5+SiO2+PbO+Fe2O3,0.42857142857142855,0,
高钾,Ward,5,37,0.3442622950819672,CuO+P2O5+SiO2+PbO+Fe2O3,0.42857142857142855,0,
高钾,Ward,2,38,,,,1,活动成分BaO在训练集中全缺失
高钾,Ward,3,38,,,,1,活动成分BaO在训练集中全缺失
高钾,Ward,4,38,,,,1,活动成分BaO在训练集中全缺失
高钾,Ward,5,38,,,,1,活动成分BaO在训练集中全缺失
高钾,Ward,2,39,0.5300699300699301,Al2O3+SiO2+P2O5,0.6,0,
高钾,Ward,3,39,0.6779003877124963,Al2O3+SiO2+P2O5,0.6,0,
高钾,Ward,4,39,0.6525515743756786,Al2O3+SiO2+P2O5,0.6,0,
高钾,Ward,5,39,0.6274738067520372,Al2O3+SiO2+P2O5,0.6,0,
高钾,Ward,2,40,0.75,CuO+K2O+P2O5,0.6,0,
高钾,Ward,3,40,0.6139705882352942,CuO+K2O+P2O5,0.6,0,
高钾,Ward,4,40,0.5776135163674763,CuO+K2O+P2O5,0.6,0,
高钾,Ward,5,40,0.782258064516129,CuO+K2O+P2O5,0.6,0,
高钾,Ward,2,41,1.0,SiO2+K2O+MgO+CuO,0.5,0,
高钾,Ward,3,41,0.5714285714285714,SiO2+K2O+MgO+CuO,0.5,0,
高钾,Ward,4,41,0.27601809954751133,SiO2+K2O+MgO+CuO,0.5,0,
高钾,Ward,5,41,0.23649906890130354,SiO2+K2O+MgO+CuO,0.5,0,
高钾,Ward,2,42,0.2,Al2O3+Fe2O3+P2O5+K2O,0.5,0,
高钾,Ward,3,42,0.25738396624472576,Al2O3+Fe2O3+P2O5+K2O,0.5,0,
高钾,Ward,4,42,0.30046635576282477,Al2O3+Fe2O3+P2O5+K2O,0.5,0,
高钾,Ward,5,42,0.4057226705796038,Al2O3+Fe2O3+P2O5+K2O,0.5,0,
高钾,Ward,2,43,1.0,CuO+SiO2+K2O,0.6,0,
高钾,Ward,3,43,1.0,CuO+SiO2+K2O,0.6,0,
高钾,Ward,4,43,0.772256728778468,CuO+SiO2+K2O,0.6,0,
高钾,Ward,5,43,0.782258064516129,CuO+SiO2+K2O,0.6,0,
高钾,Ward,2,44,0.21052631578947367,Fe2O3+P2O5+CuO,0.3333333333333333,0,
高钾,Ward,3,44,0.15469613259668508,Fe2O3+P2O5+CuO,0.3333333333333333,0,
高钾,Ward,4,44,0.2926613616268789,Fe2O3+P2O5+CuO,0.3333333333333333,0,
高钾,Ward,5,44,0.3562231759656652,Fe2O3+P2O5+CuO,0.3333333333333333,0,
高钾,Ward,2,45,-0.09871244635193133,CuO+SiO2+P2O5,0.6,0,
高钾,Ward,3,45,0.10124826629680998,CuO+SiO2+P2O5,0.6,0,
高钾,Ward,4,45,0.5392,CuO+SiO2+P2O5,0.6,0,
高钾,Ward,5,45,0.3941747572815534,CuO+SiO2+P2O5,0.6,0,
高钾,Ward,2,46,-0.12704918032786885,P2O5+K2O+Al2O3,0.6,0,
高钾,Ward,3,46,0.6317991631799164,P2O5+K2O+Al2O3,0.6,0,
高钾,Ward,4,46,0.9447513812154696,P2O5+K2O+Al2O3,0.6,0,
高钾,Ward,5,46,0.5679012345679012,P2O5+K2O+Al2O3,0.6,0,
高钾,Ward,2,47,0.1944055944055944,Al2O3+SiO2+MgO,0.3333333333333333,0,
高钾,Ward,3,47,0.35047361299052776,Al2O3+SiO2+MgO,0.3333333333333333,0,
高钾,Ward,4,47,0.34388489208633094,Al2O3+SiO2+MgO,0.3333333333333333,0,
高钾,Ward,5,47,0.187039764359352,Al2O3+SiO2+MgO,0.3333333333333333,0,
高钾,Ward,2,48,0.21052631578947367,Fe2O3+SiO2+K2O+P2O5,0.5,0,
高钾,Ward,3,48,0.37209302325581395,Fe2O3+SiO2+K2O+P2O5,0.5,0,
高钾,Ward,4,48,0.587696335078534,Fe2O3+SiO2+K2O+P2O5,0.5,0,
高钾,Ward,5,48,0.5,Fe2O3+SiO2+K2O+P2O5,0.5,0,
高钾,Ward,2,49,1.0,SiO2+K2O,0.4,0,
高钾,Ward,3,49,0.4482758620689655,SiO2+K2O,0.4,0,
高钾,Ward,4,49,0.22580645161290322,SiO2+K2O,0.4,0,
高钾,Ward,5,49,0.22493681550126368,SiO2+K2O,0.4,0,
高钾,Ward,2,50,0.2033195020746888,SiO2+Al2O3+CuO+K2O+P2O5,1.0,0,
高钾,Ward,3,50,0.49195596951735815,SiO2+Al2O3+CuO+K2O+P2O5,1.0,0,
高钾,Ward,4,50,0.3498716852010265,SiO2+Al2O3+CuO+K2O+P2O5,1.0,0,
高钾,Ward,5,50,0.358974358974359,SiO2+Al2O3+CuO+K2O+P2O5,1.0,0,
高钾,Ward,2,51,0.47761194029850745,SiO2+P2O5+CuO,0.6,0,
高钾,Ward,3,51,0.2613065326633166,SiO2+P2O5+CuO,0.6,0,
高钾,Ward,4,51,0.3618718425950545,SiO2+P2O5+CuO,0.6,0,
高钾,Ward,5,51,0.3812797461660497,SiO2+P2O5+CuO,0.6,0,
高钾,Ward,2,52,0.31976744186046513,CaO+CuO+P2O5,0.3333333333333333,0,
高钾,Ward,3,52,0.5006934812760055,CaO+CuO+P2O5,0.3333333333333333,0,
高钾,Ward,4,52,0.3761969904240766,CaO+CuO+P2O5,0.3333333333333333,0,
高钾,Ward,5,52,0.19214586255259467,CaO+CuO+P2O5,0.3333333333333333,0,
高钾,Ward,2,53,0.2033195020746888,SiO2+Al2O3+MgO,0.3333333333333333,0,
高钾,Ward,3,53,0.2550607287449393,SiO2+Al2O3+MgO,0.3333333333333333,0,
高钾,Ward,4,53,0.07569721115537849,SiO2+Al2O3+MgO,0.3333333333333333,0,
高钾,Ward,5,53,0.0781456953642384,SiO2+Al2O3+MgO,0.3333333333333333,0,
高钾,Ward,2,54,0.6926229508196722,P2O5+CuO+CaO+Fe2O3,0.2857142857142857,0,
高钾,Ward,3,54,0.5108695652173914,P2O5+CuO+CaO+Fe2O3,0.2857142857142857,0,
高钾,Ward,4,54,0.5556872037914692,P2O5+CuO+CaO+Fe2O3,0.2857142857142857,0,
高钾,Ward,5,54,0.199288256227758,P2O5+CuO+CaO+Fe2O3,0.2857142857142857,0,
高钾,Ward,2,55,0.08333333333333333,K2O+CuO+SiO2+Fe2O3+P2O5,0.6666666666666666,0,
高钾,Ward,3,55,0.2833333333333333,K2O+CuO+SiO2+Fe2O3+P2O5,0.6666666666666666,0,
高钾,Ward,4,55,0.18333333333333332,K2O+CuO+SiO2+Fe2O3+P2O5,0.6666666666666666,0,
高钾,Ward,5,55,0.187039764359352,K2O+CuO+SiO2+Fe2O3+P2O5,0.6666666666666666,0,
高钾,Ward,2,56,-0.11801242236024845,Al2O3+CuO+SiO2+P2O5,0.8,0,
高钾,Ward,3,56,0.2516629711751663,Al2O3+CuO+SiO2+P2O5,0.8,0,
高钾,Ward,4,56,0.6366782006920415,Al2O3+CuO+SiO2+P2O5,0.8,0,
高钾,Ward,5,56,0.6306555863342567,Al2O3+CuO+SiO2+P2O5,0.8,0,
高钾,Ward,2,57,0.2033195020746888,SiO2+P2O5+CuO,0.6,0,
高钾,Ward,3,57,0.18712955122777308,SiO2+P2O5+CuO,0.6,0,
高钾,Ward,4,57,0.21123394084254557,SiO2+P2O5+CuO,0.6,0,
高钾,Ward,5,57,0.3717277486910995,SiO2+P2O5+CuO,0.6,0,
高钾,Ward,2,58,0.21375921375921375,SiO2+CuO,0.4,0,
高钾,Ward,3,58,0.7229437229437229,SiO2+CuO,0.4,0,
高钾,Ward,4,58,0.3013972055888224,SiO2+CuO,0.4,0,
高钾,Ward,5,58,0.18238993710691823,SiO2+CuO,0.4,0,
高钾,Ward,2,59,-0.06779661016949153,SiO2+Al2O3+P2O5+Fe2O3,0.5,0,
高钾,Ward,3,59,0.34841628959276016,SiO2+Al2O3+P2O5+Fe2O3,0.5,0,
高钾,Ward,4,59,0.4251242015613911,SiO2+Al2O3+P2O5+Fe2O3,0.5,0,
高钾,Ward,5,59,0.34375,SiO2+Al2O3+P2O5+Fe2O3,0.5,0,
高钾,Ward,2,60,1.0,Al2O3+MgO+SiO2+K2O+P2O5,0.6666666666666666,0,
高钾,Ward,3,60,0.5926449787835927,Al2O3+MgO+SiO2+K2O+P2O5,0.6666666666666666,0,
高钾,Ward,4,60,0.7375820056232427,Al2O3+MgO+SiO2+K2O+P2O5,0.6666666666666666,0,
高钾,Ward,5,60,1.0,Al2O3+MgO+SiO2+K2O+P2O5,0.6666666666666666,0,
高钾,Ward,2,61,-0.006993006993006993,SiO2+Fe2O3+CuO+P2O5,0.5,0,
高钾,Ward,3,61,0.1278600269179004,SiO2+Fe2O3+CuO+P2O5,0.5,0,
高钾,Ward,4,61,0.16883116883116883,SiO2+Fe2O3+CuO+P2O5,0.5,0,
高钾,Ward,5,61,0.09802693391794551,SiO2+Fe2O3+CuO+P2O5,0.5,0,
高钾,Ward,2,62,0.35,P2O5+K2O+Fe2O3,0.3333333333333333,0,
高钾,Ward,3,62,0.28983833718244806,P2O5+K2O+Fe2O3,0.3333333333333333,0,
高钾,Ward,4,62,0.3201754385964912,P2O5+K2O+Fe2O3,0.3333333333333333,0,
高钾,Ward,5,62,0.5502645502645502,P2O5+K2O+Fe2O3,0.3333333333333333,0,
高钾,Ward,2,63,0.5300699300699301,SiO2+Al2O3+P2O5,0.6,0,
高钾,Ward,3,63,0.8657342657342657,SiO2+Al2O3+P2O5,0.6,0,
