repeat_id,outer_fold,model,config_json
5,1,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": 0.7, ""threshold"": 0.5}"
5,2,Logistic,"{""C"": 0.1, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""硅铝_相对_总助熔""], ""threshold"": 0.5}"
5,2,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 1, ""min_samples_leaf"": 5, ""threshold"": 0.5}"
5,2,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": ""auto"", ""threshold"": 0.28}"
5,3,Logistic,"{""C"": 1000, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.5}"
5,3,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 3, ""min_samples_leaf"": 3, ""threshold"": 0.5}"
5,3,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": ""auto"", ""threshold"": 0.5}"
5,4,Logistic,"{""C"": 1000, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.6000000000000001}"
5,4,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 2, ""min_samples_leaf"": 6, ""threshold"": 0.5}"
5,4,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": 0.5, ""threshold"": 0.5}"
6,0,Logistic,"{""C"": 1000, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.6500000000000001}"
6,0,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 2, ""min_samples_leaf"": 6, ""threshold"": 0.5}"
6,0,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": ""auto"", ""threshold"": 0.43000000000000005}"
6,1,Logistic,"{""C"": 100, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.6500000000000001}"
6,1,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 1, ""min_samples_leaf"": 8, ""threshold"": 0.5}"
6,1,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": 0.3, ""threshold"": 0.4700000000000001}"
6,2,Logistic,"{""C"": 0.1, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝""], ""threshold"": 0.4700000000000001}"
6,2,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 1, ""min_samples_leaf"": 5, ""threshold"": 0.5}"
6,2,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": ""auto"", ""threshold"": 0.5}"
6,3,Logistic,"{""C"": 10, ""class_weight"": ""none"", ""features"": [""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.5}"
6,3,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 1, ""min_samples_leaf"": 6, ""threshold"": 0.5}"
6,3,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": 0.5, ""threshold"": 0.44000000000000006}"
6,4,Logistic,"{""C"": 1000, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.5900000000000001}"
